Date,stock_00,stock_01,stock_02,stock_03,stock_04,stock_05,stock_06,stock_07,stock_08,stock_09,stock_10,stock_11,stock_12,stock_13,stock_14,stock_15,stock_16,stock_17,stock_18,stock_19,stock_20,stock_21,stock_22,stock_23,stock_24,stock_25,stock_26,stock_27,stock_28,stock_29,stock_30,stock_31,stock_32,stock_33,stock_34,stock_35,stock_36,stock_37,stock_38,stock_39,stock_40,stock_41,stock_42,stock_43,stock_44,stock_45,stock_46,stock_47,stock_48,stock_49
2023-01-02,917.7226216368464,729.7364204296746,339.2829653135676,972.2587396129514,800.8758135692151,745.201170243096,504.4253519294098,345.01740566064313,186.75186593814936,912.3421568894576,510.19866085024995,282.12702831570726,375.36096173558724,621.2976120477064,259.09550464530855,870.952855683138,782.6675768516891,747.5166603558431,488.8837357975933,664.5779566321988,625.688172021462,684.861941399338,175.9998890259002,474.22666195354867,137.45275647570324,544.5917373200671,396.8750910995068,230.0717699794422,193.06267095029648,628.8801149599408,253.5336716831975,932.6081065391174,622.9550257303555,412.1828240813534,631.8239423332751,120.52348392672775,962.7032919173008,534.0730932486102,804.4617045252576,174.4569999301947,537.9924977543443,541.6362949190689,944.0438094774846,614.5552471384678,526.1404609512584,340.2780967827042,398.41209760829696,568.605162224384,495.02031427454205,119.45087189229739
2023-01-03,929.635032209576,730.765022901688,338.1002317804508,949.8009622452942,768.9627605262436,736.4513674358907,504.2934441912081,358.07712572796385,186.97812928664624,920.9693733897425,504.3621241669665,276.3728288132246,368.17101241674226,610.2565256191716,271.7317201591602,856.5120329358541,796.4536240213,738.0017041610121,492.5729154947093,669.3736575943633,625.0329790122704,684.5058559961831,172.95673550951165,477.2748564876206,137.0845968953986,535.7182104727473,390.12739505578156,230.89324961452078,199.32472221656985,631.7663511265062,252.98595672559256,937.9728865571477,645.086220252434,413.24180685563107,630.3133981938043,121.67478387630472,972.5603827338734,549.1556547373476,806.0415390008194,170.5551292132613,530.7719831341153,563.7635664601045,973.6272819910979,612.8703747925135,523.7969343542759,351.72614669810457,391.75684068517853,564.386787642946,498.3341298823293,117.96459900649727
2023-01-04,930.3364293734476,730.2757200357978,341.31824206054364,981.618049718817,770.3658166504706,749.4854339290673,486.4992161543188,357.96093448060606,185.42319753090317,911.0671125913972,494.2401318094162,274.9539079452318,375.3454802315812,590.2660771186468,271.9632846538975,848.0816865986344,791.4380287517873,748.2488911896032,494.91014302003754,685.4074627956587,624.3940571934979,676.7524080286015,172.0148434324255,479.1517082841135,137.3898412528308,527.9866686830293,390.7503271196673,232.01410587507849,209.754535325435,663.6969875163771,248.20303355252568,934.4671476833535,620.2004017329593,410.79217524274065,631.9536378059041,122.94192012047309,955.0375413136842,542.9132271828898,788.3528778860318,170.12492479561118,525.2739060876756,557.0662909206143,959.361006745617,612.0192137118873,511.5975216755182,340.6943063244518,404.91907207766144,558.3311789412879,493.6402150764581,124.71208297945034
2023-01-05,962.2672178349517,725.0312516608268,338.27068818060997,989.8766113147633,802.807032514777,731.1185688171691,484.7111153669224,363.99536513711206,186.20389998397803,908.2742749554742,492.73595351081855,268.41798795896835,373.69470603072506,586.6202396050498,273.4207311002123,838.5252790316961,799.3750745050211,758.7438158651609,495.91377290030556,689.9570565631233,625.2739646638532,676.8591504596124,168.72707383095943,481.4701919824148,137.4031315975167,542.9840966039108,399.40481832182695,233.98631580468813,206.4854783870647,645.0038682724828,255.25419109282552,939.4839727604138,628.1697253775152,403.436238972842,636.2676124003672,123.42500670591117,929.1086622665321,538.5028995893681,790.5601681639356,170.38809461478127,523.9076257858625,556.0678715907459,955.7226082133955,613.572528864404,522.6166413345553,322.0567540548858,403.53241090973484,559.2630366038339,495.3468195438571,123.24571460695887
2023-01-06,944.0594707491631,726.8585541637883,354.1184449793624,955.9695560705347,819.379760819974,725.5010800318288,484.51908456253454,356.4165100680676,185.5804687292456,919.5391575728103,499.44916447070494,277.25705361647044,383.0289005130583,593.6113468666307,284.30792639100656,845.9377647128855,813.2812545258827,755.4528664045478,496.6070063868557,682.0415437787643,633.0569346341878,663.8574864938187,172.569064908218,480.8172133693124,138.7773019116778,548.4609902937597,409.63617165824235,237.85301602153268,199.95079176106094,644.1444376245954,248.59601248127055,932.405028069452,654.0752068906124,406.25367100669257,633.4914783818355,122.36101752843848,929.5594633068595,527.0377072734867,785.1303331309333,171.49192802541594,530.2690403342032,564.5788680195145,918.6410032062216,616.6163329337963,523.5906491785227,325.2459341836888,413.80447874578454,549.6225526511886,492.9873122664602,125.4307677544614
2023-01-09,928.0368983497833,734.1353573655988,357.7765503309862,975.3009009284273,807.9086571043504,741.6051232661788,494.2008971932043,358.37678657535434,185.99543782215488,922.1802926675748,489.5935050426802,276.770369504912,382.0158809726243,599.8307784412348,290.7651052053817,827.9265468635555,811.5061901155881,771.0773530257404,494.4586033125871,672.7621391124117,635.0569074062689,673.3296298882832,172.75570461615942,489.1456929473494,139.82323358799346,554.6681913005327,412.90406134929134,250.82022862439666,199.0803250812246,611.6367541777637,258.1031735704184,926.3070836142965,655.9007052979716,411.9894673638841,626.824402648541,121.05914810372472,893.5117669346258,519.7399504257611,788.7652617804152,173.29737207827944,531.9462970253267,546.2443652461884,882.706784924291,617.2167506793833,520.6171537193387,328.79833051178946,418.3991946974556,550.3606441541993,496.825353653366,126.25236576900964
2023-01-10,934.3890587769738,731.0733423920791,356.3339966087452,980.22936671936,823.7278224202739,734.6616492678827,499.17208764785755,356.6593422575807,185.76806596131647,929.5913349772461,467.5478603583378,270.57655344615165,370.7396104178936,565.4270467030094,286.4500801364849,840.5121424637423,807.0996680114667,773.0488968490525,498.74588434821175,688.7613522325777,635.0420523419638,688.7317459908991,173.33101829573866,484.6450313078264,139.2977752648223,543.7711861773427,408.056750226764,248.6654289543167,202.32162708576993,639.9426824006335,250.1564585938655,933.2858272855992,637.7882412762817,414.1574508116011,626.5294572274036,119.17814040208793,913.7762431041849,514.2850725953296,784.4626471243719,169.9182204898396,528.6186192249633,552.218214530929,880.3273058318429,620.5182933132218,523.6928980833748,338.8005365068141,416.285965008784,543.5787313426871,502.12108218144493,124.92200768235003
2023-01-11,947.039574505721,733.1791434783652,355.3470311577285,988.6407845532697,863.0215875875906,776.0155770205728,500.14069000722805,358.08358146463706,187.7292968621962,922.7537055891805,471.18854005666407,270.69935871203836,373.3189406580435,553.8448855452274,276.52391697602525,805.8915770672827,789.2061388170439,767.9562869424442,498.1733702336761,712.6177822236701,643.8233744671485,677.929869570459,175.1484371399521,482.71211908061326,139.10893488228783,545.1125362380893,411.6787115785052,246.63542520276025,206.7068279644269,621.440395315909,250.33579367770398,975.2404264897459,641.5466978312966,420.5509066710782,627.1933266280909,119.77604602934804,912.2155928067,512.8700148348286,778.2004708537079,171.40228542864133,524.2623815403546,561.4304925789045,897.8038844430881,624.2132421992578,522.0630898692492,342.4598038405978,414.40128309899677,548.0135542637958,494.01475797654416,123.59012087461862
2023-01-12,926.6575382256539,726.3883825180192,368.4786072909389,1009.7634565507415,847.902862594719,746.9281726830693,474.6763707497843,354.33205012901135,192.23248991483842,926.8037477642351,465.14898074941703,273.2488679549699,361.71360200874244,549.988682559204,277.18465371709044,804.417185405222,802.3269052892043,771.4996801794186,500.9985604264059,704.5526366203087,651.1373533304542,696.6127776658794,170.6174458149693,477.9774037664964,140.67986812823028,543.7080975102424,419.8207145657829,244.04216494079625,212.87377874378922,623.8290426943771,251.97326671150424,1001.8184676312135,635.2872988768909,416.52160689173076,625.532050966308,120.24454303358911,877.603885474834,518.9245781182957,773.9164180045917,175.2630507932226,511.87388856514184,551.3699963583703,872.1738869709579,616.1335969763802,524.314213498664,341.3308269024528,412.8769399456817,547.3626318233537,495.2971522096949,119.78547485972744
2023-01-13,934.8719990093934,729.8012837884385,372.4473515445102,1023.3175071322925,853.6685450565627,788.1143203679607,474.2699462585228,352.33406546645716,190.80189547252257,918.4111243307298,451.9662543232236,269.11997910745316,361.36397211801295,555.0536331168431,277.5477414817484,791.9746911032269,817.4869668399826,779.3419860547995,500.8965564888985,697.0062659540139,655.8464620211148,698.8982238425455,164.0095523408377,478.0437157399553,141.08675654901023,537.1880546320816,421.06368393795657,235.92414564219123,218.6954803934022,644.7087120147739,250.6546160624272,1008.8758647992022,595.4754300205077,411.5991026836204,624.539105851679,119.14831905843924,892.8162156902144,538.0151432264956,764.5852859122256,172.60266007059354,513.2804885712106,573.3503677416526,854.2012959351839,618.6456006743272,538.2172638795571,329.27318652714376,404.89235760159465,545.4839289970623,493.260307682167,122.73729205418617
